T_in,C_A0,tau,V,T,C_A,C_B,C_C,success,residual_norm
319.6445208790289,1.7706244486240992,3.9853535052002216,1.1772967107811114,317.5542469918259,1.7703378409669157,0.0002866059114626028,1.7457210549334877e-09,True,4.7515383441743935e-17
323.2181164530422,1.2196097510593453,4.945597150745025,1.8733890582015702,319.88888103830516,1.2193165706191487,0.0002931777510759358,2.6891206455961348e-09,True,2.0083699843490413e-17
355.59743772734646,0.8318198456248418,3.0340730049394184,0.6876976027572484,352.7268870838326,0.8306275310127041,0.0011922368407130018,7.777142459676153e-08,True,1.8542909856062555e-17
338.34712269759837,1.9448708953546918,4.653891464502932,0.5900022948308399,335.93960837046103,1.9434573029817648,0.0014135494656253975,4.290730174850574e-08,True,2.251658015820949e-17
347.1889083042597,1.6359744730975583,6.52043092207002,1.1058394181405706,345.0887220627613,1.6328903679241138,0.0030838502856878024,2.548877565008893e-07,True,2.9554577329426396e-17
322.8048382451983,1.393858189612748,4.802573254939012,0.29381947127114055,319.7357434565726,1.3935365952223284,0.0003215915618658272,2.828553774848808e-09,True,8.408547535838447e-18
319.98443233005855,1.9035221445168593,5.391333197490682,1.143921527552238,317.2929935108869,1.9031137105293099,0.0004084306948177089,3.292731830201211e-09,True,2.385694678368277e-17
303.2769142101586,1.7581267804187029,5.913138094610231,0.10787111867391777,302.9580501585553,1.7579978191884016,0.00012896090541550354,3.248857577047684e-10,True,1.3646630814452945e-18
351.35348349283726,1.4942518161175862,6.1913261104718105,0.6264268436165953,351.63233967342603,1.490177857204089,0.004073455517692096,5.033958050829594e-07,True,1.481016550243124e-17
352.0974015698933,1.8346097180295098,2.921932726627373,1.0928146209034564,355.69854399077104,1.83156272947163,0.003046754918687803,2.3363919181281572e-07,True,9.187474613363112e-17
326.67125696162253,1.2340669287215769,5.695749337244995,0.2727469616831017,322.46143197212507,1.2336517624792285,0.0004151608320608823,5.410287435098813e-09,True,1.481505202251174e-17
302.2433548039721,1.8072780942570013,5.456531304052425,0.4736125867324454,302.13170454000846,1.807164099671028,0.00011399434036429113,2.456087183463932e-10,True,2.9590044763456824e-17
344.4063500899205,1.7079440990065562,1.6920002294938121,0.5030452145246619,343.8507491049852,1.707172929675644,0.0007711541823274061,1.5148584803301842e-08,True,5.4590361990357355e-17
346.98426151244996,0.9361340596573633,1.365737086553434,0.5480425261298357,345.57681986190875,0.935751833343648,0.00038221946474598464,6.848969415213527e-09,True,6.544299490263493e-17
330.1708216844892,1.8785725035216188,3.5096505075046807,0.5803255554522017,327.88901473881214,1.8779907584386557,0.0005817378860115026,7.196951593041726e-09,True,1.507160913951191e-17
339.1866319407642,1.737411561517543,4.4660869097337965,1.1987027507426797,336.4110551310027,1.7361595341166727,0.0012519896275218633,3.7773348449136635e-08,True,2.2924586249656326e-17
353.07938364330863,1.053025313044307,6.381963538317951,0.21808445638157897,347.74968487932665,1.0507152503837434,0.0023098374467082267,2.2521385558118493e-07,True,2.5067997227411385e-17
357.4029319385346,1.909106424205654,1.2623542431457773,1.8119671004701858,360.56092301649846,1.907262685524592,0.0018436546325968498,8.40484652841117e-08,True,1.8175163488963187e-16
330.7341281248447,1.7117352333941094,6.2211074196191465,1.3819904661640807,326.4290394241917,1.7108908283063557,0.0008443885799153927,1.650783802064671e-08,True,3.512347729096105e-17
333.64671372919344,1.7350374452554238,1.297964949038335,1.4161914676020602,332.7586286696094,1.7347557261886748,0.00028171718989680066,1.876852356904074e-09,True,1.146146055433666e-16
302.6595457585373,1.2111639808556898,4.570694101623509,1.3483997798003369,302.4040733315596,1.211098479019238,6.550171523050015e-05,1.21221359424194e-10,True,3.298930252667133e-17
306.8567745644193,0.9001995820899586,6.624619219743217,0.9393973917561995,305.55006809645874,0.9001075049335145,9.207682747651247e-05,3.2896750042823464e-10,True,1.530413260163366e-17
