output,MAE,RMSE,R2
T,0.29271542893128266,0.4278292741838749,0.9993562113909866
C_A,0.006532788067813116,0.008310939057841575,0.9994454864722632
C_B,3.1183805334538324e-05,7.483169453288863e-05,0.993021972978508
C_C,4.040258813875105e-09,1.6622496355291336e-08,0.9776456549332786
